id,hu1_mean,hu2_mean,hu3_mean,hu4_mean,hu5_mean,hu6_mean,hu7_mean,hu1_std,hu2_std,hu3_std,hu4_std,hu5_std,hu6_std,hu7_std,note,raw_path,n_points,lambda1,lambda2,lambda3,r1,r2,r3,ratio12,ratio23,trace,proj_hist_bin_0,proj_hist_bin_1,proj_hist_bin_2,proj_hist_bin_3,proj_hist_bin_4,proj_hist_bin_5,proj_hist_bin_6,proj_hist_bin_7
Douglasie_31_64,2.801914930343628,5.746510028839111,9.177654266357422,9.48773193359375,18.822025299072266,12.371869087219238,0.0,0.0811718329787254,0.229044958949089,0.1151346787810325,0.1752025336027145,0.3136440813541412,0.2750746607780456,20.507768630981445,0.0,0.0,1024,0.0696963667869567,0.0052366964519023,0.0021494387183338,0.9041788578033448,0.0679362565279007,0.0278849098831415,13.309224128723145,2.4363088607788086,0.0770825073122978,0.1201171875,0.2939453125,0.2255859375,0.130859375,0.1455078125,0.04296875,0.02734375,0.013671875
Douglasie_31_65,2.839763879776001,6.068904876708984,8.457836151123047,8.745902061462402,17.348234176635742,11.782086372375488,-1.5894572413799326e-07,0.0522874258458614,0.1449978053569793,0.1945781707763672,0.2099953144788742,0.4114936590194702,0.2816666066646576,18.97761344909668,0.0,0.0,1024,0.0730546563863754,0.012120540253818,0.0078434944152832,0.7853760719299316,0.1303022056818008,0.0843217074871063,6.027342796325684,1.5452985763549805,0.0930186882615089,0.3056640625,0.3466796875,0.1376953125,0.076171875,0.0615234375,0.02734375,0.017578125,0.02734375
Douglasie_31_66,2.9487552642822266,6.193704128265381,9.483794212341309,9.757983207702637,19.38297843933105,12.900259971618652,0.0,0.0218900889158248,0.0720678269863128,0.2837904393672943,0.2143626660108566,0.4582686722278595,0.2173807621002197,20.54412841796875,0.0,0.0,1024,0.0727018639445304,0.0078550521284341,0.0066818953491747,0.8333660364151001,0.0900407955050468,0.0765931531786918,9.255427360534668,1.175572395324707,0.0872388109564781,0.2763671875,0.283203125,0.16796875,0.1162109375,0.0791015625,0.0517578125,0.0107421875,0.0146484375
Douglasie_31_68,3.11515212059021,7.076287746429443,10.130443572998049,10.953361511230469,14.309435844421388,-0.3746726512908935,1.5894572413799326e-07,0.0095160631462931,0.1544470787048339,0.235197439789772,0.2072005420923233,16.648162841796875,14.854395866394045,22.040340423583984,0.0,0.0,1024,0.0374613665044307,0.0134567031636834,0.0089255943894386,0.62598717212677,0.2248642891645431,0.1491485238075256,2.783844232559204,1.5076534748077393,0.0598436631262302,0.369140625,0.251953125,0.2001953125,0.1015625,0.05078125,0.0087890625,0.009765625,0.0078125
Douglasie_31_70,2.8542068004608154,5.959217071533203,8.542283058166504,8.697461128234863,17.31757926940918,11.68586254119873,-0.000364144652849,0.0444617010653018,0.1453876942396164,0.1722764521837234,0.1929488629102707,0.3749538958072662,0.2611828446388244,18.966257095336918,0.0,0.0,1024,0.0737518146634101,0.0074664405547082,0.0051341773942112,0.8540791869163513,0.0864647403359413,0.0594560839235782,9.877774238586426,1.4542622566223145,0.0863524302840232,0.396484375,0.2919921875,0.16015625,0.0615234375,0.03125,0.0185546875,0.0166015625,0.0234375
Douglasie_31_71,2.9136321544647217,6.19447660446167,9.122143745422363,9.430171966552734,18.71427726745605,12.530799865722656,-3.703435140778311e-05,0.1277327239513397,0.49052894115448,1.1143488883972168,1.5086607933044434,2.8364334106445312,1.7511175870895386,20.809255599975582,0.0,0.0,1024,0.0702904686331749,0.00502958195284,0.0039909300394356,0.8862640261650085,0.0634159594774246,0.0503200180828571,13.97541046142578,1.2602530717849731,0.0793109834194183,0.4384765625,0.255859375,0.1416015625,0.060546875,0.0498046875,0.0185546875,0.015625,0.01953125
Douglasie_31_73,2.7133257389068604,5.547473907470703,8.26254653930664,8.374313354492188,16.692794799804688,11.151482582092283,0.0017207463970407,0.0392514690756797,0.0921691134572029,0.1779930889606475,0.1896798908710479,0.3733067512512207,0.2337755858898162,18.69953155517578,0.0,0.0,1024,0.0858550816774368,0.0035396816674619,0.0020041647367179,0.9393445253372192,0.0387278236448764,0.02192766033113,24.255029678344727,1.7661631107330322,0.0913989320397377,0.220703125,0.2978515625,0.1845703125,0.1064453125,0.068359375,0.0439453125,0.048828125,0.029296875
Douglasie_31_74,2.909191131591797,6.036801815032959,9.695734977722168,10.01877212524414,19.88529586791992,13.124068260192873,3.178914482759865e-07,0.0292055904865264,0.0944999977946281,0.4541137814521789,0.57355797290802,1.097392439842224,0.7054219245910645,20.777814865112305,0.0,0.0,1024,0.060296032577753,0.0044944058172404,0.0024033649824559,0.8973451256752014,0.0668872073292732,0.0357676595449447,13.41579532623291,1.8700472116470337,0.0671937987208366,0.169921875,0.16015625,0.283203125,0.185546875,0.0986328125,0.0703125,0.02734375,0.0048828125
Douglasie_31_78,2.748333692550659,5.695518970489502,8.155146598815918,8.280994415283203,16.499116897583008,11.1372652053833,-0.0105759305879473,0.0489557608962059,0.1196207776665687,0.2205933183431625,0.2206203043460846,0.4407240152359009,0.2796460092067718,18.762306213378903,0.0,0.0,1024,0.094280369579792,0.0075125657021999,0.0040105478838086,0.8910894393920898,0.0710048973560333,0.0379056334495544,12.549690246582031,1.873201847076416,0.105803482234478,0.3369140625,0.2880859375,0.1611328125,0.0849609375,0.0322265625,0.0419921875,0.0234375,0.03125
Douglasie_31_79,3.0078704357147217,6.376743793487549,10.08236598968506,10.55690097808838,20.89840507507324,13.80447006225586,0.0024549167137593,0.036564290523529,0.1572924703359604,0.191168799996376,0.2952770888805389,0.5385705232620239,0.3408443629741668,21.444673538208008,0.0,0.0,1024,0.1152117252349853,0.0036772598978132,0.0028222079854458,0.9465992450714112,0.0302129965275526,0.023187743499875,31.33086395263672,1.302972674369812,0.1217111945152282,0.2998046875,0.3818359375,0.1611328125,0.0439453125,0.0234375,0.0283203125,0.029296875,0.0322265625
