id,raw_path,n_points,lambda1,lambda2,lambda3,r1,r2,r3,ratio12,ratio23,trace,proj_hist_bin_0,proj_hist_bin_1,proj_hist_bin_2,proj_hist_bin_3,proj_hist_bin_4,proj_hist_bin_5,proj_hist_bin_6,proj_hist_bin_7
Douglasie_61_24,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_24.txt,1024,0.1255754977464676,0.002586927730590105,0.0010508343111723661,0.9718468189239502,0.020020605996251106,0.008132558315992355,48.542327880859375,2.461784601211548,0.12921325862407684,0.12890625,0.1416015625,0.146484375,0.16015625,0.193359375,0.1064453125,0.05078125,0.072265625
Douglasie_61_25,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_25.txt,1024,0.09337068349123001,0.005795234348624945,0.0025902478955686092,0.9175924062728882,0.05695216730237007,0.02545543946325779,16.111631393432617,2.237328052520752,0.10175617039203644,0.1396484375,0.1787109375,0.3701171875,0.1435546875,0.0703125,0.0302734375,0.0234375,0.0439453125
Douglasie_31_53,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\31_53.txt,1024,0.10331666469573975,0.00890638679265976,0.0026970412582159042,0.8990304470062256,0.07750069350004196,0.02346884086728096,11.600289344787598,3.3022804260253906,0.11492009460926056,0.046875,0.072265625,0.2138671875,0.3203125,0.2109375,0.0869140625,0.0263671875,0.0224609375
Douglasie_61_28,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_28.txt,1024,0.08992645889520645,0.0038442036602646112,0.0023624743334949017,0.9354366660118103,0.039988331496715546,0.02457502670586109,23.39274024963379,1.627193808555603,0.09613313525915146,0.1611328125,0.32421875,0.259765625,0.1015625,0.044921875,0.03125,0.03125,0.0458984375
Douglasie_61_30,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_30.txt,1024,0.060333896428346634,0.007002802100032568,0.005276307929307222,0.8308965563774109,0.09644004702568054,0.07266339659690857,8.615679740905762,1.327216386795044,0.07261300832033157,0.462890625,0.25390625,0.1298828125,0.0595703125,0.0341796875,0.0166015625,0.0185546875,0.0244140625
Douglasie_61_31,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_31.txt,1024,0.0933714434504509,0.007655604742467403,0.0031369379721581936,0.8963889479637146,0.07349570095539093,0.03011537902057171,12.196481704711914,2.4404706954956055,0.1041639894247055,0.2001953125,0.28125,0.244140625,0.1083984375,0.0537109375,0.033203125,0.0341796875,0.044921875
Douglasie_61_32,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_32.txt,1024,0.07924365997314453,0.008005931973457336,0.0038878065533936024,0.8694966435432434,0.08784464001655579,0.042658738791942596,9.898118019104004,2.05924129486084,0.09113739430904388,0.2646484375,0.330078125,0.2021484375,0.0556640625,0.04296875,0.0302734375,0.03125,0.04296875
Douglasie_61_29,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_29.txt,1024,0.06832026690244675,0.008162525482475758,0.003969138488173485,0.8492060899734497,0.10145840793848038,0.049335528165102005,8.36999225616455,2.056497812271118,0.08045193552970886,0.2919921875,0.2412109375,0.2421875,0.1123046875,0.0419921875,0.02734375,0.0185546875,0.0244140625
Douglasie_61_33,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_33.txt,1024,0.039424363523721695,0.0043092165142297745,0.0027789457235485315,0.847607433795929,0.09264636039733887,0.05974617972970009,9.148847579956055,1.5506658554077148,0.04651252552866936,0.359375,0.2421875,0.162109375,0.103515625,0.072265625,0.01953125,0.0146484375,0.0263671875
Douglasie_61_34,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_34.txt,1024,0.06047604978084564,0.005391073413193226,0.004346220288425684,0.8613184690475464,0.07678131759166718,0.06190020591020584,11.217812538146973,1.2404049634933472,0.07021334767341614,0.251953125,0.1943359375,0.2119140625,0.1591796875,0.08203125,0.0439453125,0.0234375,0.033203125
Douglasie_61_35,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_35.txt,1024,0.09600336849689484,0.0075711579993367195,0.0032426381949335337,0.8987634778022766,0.07087960094213486,0.03035690262913704,12.680142402648926,2.33487606048584,0.10681716352701187,0.224609375,0.203125,0.20703125,0.115234375,0.12109375,0.0517578125,0.029296875,0.0478515625
Douglasie_61_40,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_40.txt,1024,0.06096002832055092,0.004772397223860025,0.0033770198933780193,0.882079541683197,0.06905564665794373,0.048864807933568954,12.773460388183594,1.4131978750228882,0.06910944730043411,0.271484375,0.326171875,0.173828125,0.0966796875,0.05078125,0.021484375,0.0234375,0.0361328125
Douglasie_61_41,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_41.txt,1024,0.05182981863617897,0.006427960004657507,0.0035153250209987164,0.8390353918075562,0.10405758768320084,0.0569070465862751,8.063182830810547,1.828553557395935,0.06177310273051262,0.33984375,0.2353515625,0.20703125,0.09765625,0.0576171875,0.025390625,0.0146484375,0.0224609375
Douglasie_61_42,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_42.txt,1024,0.03928777575492859,0.005895640701055527,0.0034855729900300503,0.8072445392608643,0.12113752216100693,0.07161794602870941,6.663868427276611,1.6914409399032593,0.048668988049030304,0.3876953125,0.2373046875,0.1689453125,0.0859375,0.0537109375,0.025390625,0.0185546875,0.0224609375
