feature,mean,std
hu1_mean,2.680974492906882,0.2240458911932775
hu2_mean,5.944586899378997,0.8516154130173006
hu3_mean,9.098312361664147,1.2295367106726578
hu4_mean,9.396252100514767,1.4732990031801154
hu5_mean,11.888249926877675,7.536418503553357
hu6_mean,8.29795940042786,4.895555529946299
hu7_mean,8.57222332905185e-07,0.00016663025175759139
hu1_std,0.0625308887285633,0.0571659185282159
hu2_std,0.3302741540893511,0.28467468461083983
hu3_std,0.4603800776429621,0.3689487751530083
hu4_std,0.5569189200829882,0.44358912121422633
hu5_std,9.10975543710552,9.043428809822565
hu6_std,5.70606061699842,5.966320331238452
hu7_std,19.61201943786183,2.311895631043356
